Date,Weekday,Status,EMDI,RDI,BINS,Comment
2015-06-08,Mon,Normal trading day,Available,Available,Available,
2015-06-09,Tue,Normal trading day,Available,Available,Available,
2015-06-10,Wed,Normal trading day,Available,Available,Available,
2015-06-11,Thu,Normal trading day,Available,Available,Available,
2015-06-12,Fri,Normal trading day,Available,Available,Available,
2015-06-13,Sat,No trading day,Not available,Not available,Not available,
2015-06-14,Sun,No trading day,Not available,Not available,Not available,
2015-06-15,Mon,Normal trading day,Available,Available,Available,
2015-06-16,Tue,Normal trading day,Available,Available,Available,
2015-06-17,Wed,Normal trading day,Available,Available,Available,
2015-06-18,Thu,Normal trading day,Available,Available,Available,
2015-06-19,Fri,Normal trading day,Available,Available,Available,
2015-06-20,Sat,No trading day,Not available,Not available,Not available,
2015-06-21,Sun,No trading day,Not available,Not available,Not available,
2015-06-22,Mon,Normal trading day,Available,Available,Available,
2015-06-23,Tue,Normal trading day,Available,Available,Available,
2015-06-24,Wed,Normal trading day,Available,Available,Available,
2015-06-25,Thu,Normal trading day,Available,Available,Available,
2015-06-26,Fri,Normal trading day,Available,Available,Available,
2015-06-27,Sat,No trading day,Not available,Not available,Not available,
2015-06-28,Sun,No trading day,Not available,Not available,Not available,
2015-06-29,Mon,Normal trading day,Available,Available,Available,
2015-06-30,Tue,Normal trading day,Available,Available,Available,
2015-07-01,Wed,Normal trading day,Available,Available,Available,
2015-07-02,Thu,Normal trading day,Available,Available,Available,
2015-07-03,Fri,Normal trading day,Available,Available,Available,
2015-07-04,Sat,No trading day,Not available,Not available,Not available,
2015-07-05,Sun,No trading day,Not available,Not available,Not available,
2015-07-06,Mon,Normal trading day,Available,Available,Available,
2015-07-07,Tue,Normal trading day,Available,Available,Available,
2015-07-08,Wed,Normal trading day,Available,Available,Available,
2015-07-09,Thu,Normal trading day,Available,Available,Available,
2015-07-10,Fri,Normal trading day,Available,Available,Available,
2015-07-11,Sat,No trading day,Not available,Not available,Not available,
2015-07-12,Sun,No trading day,Not available,Not available,Not available,
2015-07-13,Mon,Normal trading day,Available,Available,Available,
2015-07-14,Tue,Normal trading day,Available,Available,Available,
2015-07-15,Wed,Normal trading day,Available,Available,Available,
2015-07-16,Thu,Normal trading day,Available,Available,Available,
2015-07-17,Fri,Normal trading day,Available,Available,Available,
2015-07-18,Sat,No trading day,Not available,Not available,Not available,
2015-07-19,Sun,No trading day,Not available,Not available,Not available,
2015-07-20,Mon,Normal trading day,Available,Available,Available,
2015-07-21,Tue,Normal trading day,Available,Available,Available,
2015-07-22,Wed,Normal trading day,Available,Available,Available,
2015-07-23,Thu,Normal trading day,Available,Available,Available,
2015-07-24,Fri,Normal trading day,Available,Available,Available,
2015-07-25,Sat,No trading day,Not available,Not available,Not available,
2015-07-26,Sun,No trading day,Not available,Not available,Not available,
2015-07-27,Mon,Normal trading day,Available,Available,Available,
2015-07-28,Tue,Normal trading day,Available,Available,Available,
2015-07-29,Wed,Normal trading day,Available,Available,Available,
2015-07-30,Thu,Normal trading day,Available,Available,Available,
2015-07-31,Fri,Normal trading day,Available,Available,Available,
2015-08-01,Sat,No trading day,Not available,Not available,Not available,
2015-08-02,Sun,No trading day,Not available,Not available,Not available,
2015-08-03,Mon,Normal trading day,Available,Available,Available,
2015-08-04,Tue,Normal trading day,Available,Available,Available,
2015-08-05,Wed,Normal trading day,Available,Available,Available,
2015-08-06,Thu,Normal trading day,Available,Available,Available,
2015-08-07,Fri,Normal trading day,Available,Available,Available,
2015-08-08,Sat,No trading day,Not available,Not available,Not available,
2015-08-09,Sun,No trading day,Not available,Not available,Not available,
2015-08-10,Mon,Normal trading day,Available,Available,Available,
2015-08-11,Tue,Normal trading day,Available,Available,Available,
2015-08-12,Wed,Normal trading day,Available,Available,Available,
2015-08-13,Thu,Normal trading day,Available,Available,Available,
2015-08-14,Fri,Normal trading day,Available,Available,Available,
2015-08-15,Sat,No trading day,Not available,Not available,Not available,
2015-08-16,Sun,No trading day,Not available,Not available,Not available,
2015-08-17,Mon,Normal trading day,Available,Available,Available,
2015-08-18,Tue,Normal trading day,Available,Available,Available,
2015-08-19,Wed,Normal trading day,Available,Available,Available,
2015-08-20,Thu,Normal trading day,Available,Available,Available,
2015-08-21,Fri,Normal trading day,Available,Available,Available,
2015-08-22,Sat,No trading day,Not available,Not available,Not available,
2015-08-23,Sun,No trading day,Not available,Not available,Not available,
2015-08-24,Mon,Normal trading day,Available,Available,Available,
2015-08-25,Tue,Normal trading day,Available,Available,Available,
2015-08-26,Wed,Normal trading day,Available,Available,Available,
2015-08-27,Thu,Normal trading day,Available,Available,Available,
2015-08-28,Fri,Normal trading day,Available,Available,Available,
2015-08-29,Sat,No trading day,Not available,Not available,Not available,
2015-08-30,Sun,No trading day,Not available,Not available,Not available,
2015-08-31,Mon,Normal trading day,Available,Available,Available,
2015-09-01,Tue,Normal trading day,Available,Available,Available,
2015-09-02,Wed,Normal trading day,Available,Available,Available,
2015-09-03,Thu,Normal trading day,Available,Available,Available,
2015-09-04,Fri,Normal trading day,Available,Available,Available,
2015-09-05,Sat,No trading day,Not available,Not available,Not available,
2015-09-06,Sun,No trading day,Not available,Not available,Not available,
2015-09-07,Mon,Normal trading day,Available,Available,Available,
2015-09-08,Tue,Normal trading day,Available,Available,Available,
2015-09-09,Wed,Normal trading day,Available,Available,Available,
2015-09-10,Thu,Normal trading day,Available,Available,Available,
2015-09-11,Fri,Normal trading day,Available,Available,Available,
2015-09-12,Sat,No trading day,Not available,Not available,Not available,
2015-09-13,Sun,No trading day,Not available,Not available,Not available,
2015-09-14,Mon,Normal trading day,Available,Available,Available,
2015-09-15,Tue,Normal trading day,Available,Available,Available,
2015-09-16,Wed,Normal trading day,Available,Available,Available,
2015-09-17,Thu,Normal trading day,Available,Available,Available,
2015-09-18,Fri,Normal trading day,Available,Available,Available,
2015-09-19,Sat,No trading day,Not available,Not available,Not available,
2015-09-20,Sun,No trading day,Not available,Not available,Not available,
2015-09-21,Mon,Normal trading day,Available,Available,Available,
2015-09-22,Tue,Normal trading day,Available,Available,Available,
2015-09-23,Wed,Normal trading day,Available,Available,Available,
2015-09-24,Thu,Normal trading day,Available,Available,Available,
2015-09-25,Fri,Normal trading day,Available,Available,Available,
2015-09-26,Sat,No trading day,Not available,Not available,Not available,
2015-09-27,Sun,No trading day,Not available,Not available,Not available,
2015-09-28,Mon,Normal trading day,Available,Available,Available,
2015-09-29,Tue,Normal trading day,Available,Available,Available,
2015-09-30,Wed,Normal trading day,Available,Available,Available,
2015-10-01,Thu,Normal trading day,Available,Available,Available,
2015-10-02,Fri,Normal trading day,Available,Available,Available,
2015-10-03,Sat,No trading day,Not available,Not available,Not available,
2015-10-04,Sun,No trading day,Not available,Not available,Not available,
2015-10-05,Mon,Normal trading day,Available,Available,Available,
2015-10-06,Tue,Normal trading day,Available,Available,Available,
2015-10-07,Wed,Normal trading day,Available,Available,Available,
2015-10-08,Thu,Normal trading day,Available,Available,Available,
2015-10-09,Fri,Normal trading day,Available,Available,Available,
2015-10-10,Sat,No trading day,Not available,Not available,Not available,
2015-10-11,Sun,No trading day,Not available,Not available,Not available,
2015-10-12,Mon,Normal trading day,Available,Available,Available,
2015-10-13,Tue,Normal trading day,Available,Available,Available,
2015-10-14,Wed,Normal trading day,Available,Available,Available,
2015-10-15,Thu,Normal trading day,Available,Available,Available,
2015-10-16,Fri,Normal trading day,Available,Available,Available,
2015-10-17,Sat,No trading day,Available,Available,Not available,
2015-10-18,Sun,No trading day,Available,Available,Not available,
2015-10-19,Mon,Normal trading day,Available,Available,Available,
2015-10-20,Tue,Normal trading day,Available,Available,Available,
2015-10-21,Wed,Normal trading day,Available,Available,Available,
2015-10-22,Thu,Normal trading day,Available,Available,Available,
2015-10-23,Fri,Normal trading day,Available,Available,Available,
2015-10-24,Sat,No trading day,Available,Available,Not available,
2015-10-25,Sun,No trading day,Available,Available,Not available,
2015-10-26,Mon,Normal trading day,Available,Available,Available,
2015-10-27,Tue,Normal trading day,Available,Available,Available,
2015-10-28,Wed,Normal trading day,Available,Available,Available,
2015-10-29,Thu,Normal trading day,Available,Available,Available,
2015-10-30,Fri,Normal trading day,Available,Available,Available,
2015-10-31,Sat,No trading day,Available,Available,Not available,
2015-11-01,Sun,No trading day,Available,Available,Not available,
2015-11-02,Mon,Normal trading day,Available,Available,Available,
2015-11-03,Tue,Normal trading day,Available,Available,Available,
2015-11-04,Wed,Normal trading day,Available,Available,Available,
2015-11-05,Thu,Normal trading day,Available,Available,Available,
2015-11-06,Fri,Normal trading day,Available,Available,Available,
2015-11-07,Sat,No trading day,Available,Available,Not available,
2015-11-08,Sun,No trading day,Available,Available,Not available,
2015-11-09,Mon,Normal trading day,Available,Available,Available,
2015-11-10,Tue,Normal trading day,Available,Available,Available,
2015-11-11,Wed,Normal trading day,Available,Available,Available,
2015-11-12,Thu,Normal trading day,Available,Available,Available,
2015-11-13,Fri,Normal trading day,Available,Available,Available,
2015-11-14,Sat,No trading day,Available,Available,Not available,
2015-11-15,Sun,No trading day,Available,Available,Not available,
2015-11-16,Mon,Normal trading day,Available,Available,Available,
2015-11-17,Tue,Normal trading day,Available,Available,Available,
2015-11-18,Wed,Normal trading day,Available,Available,Available,
2015-11-19,Thu,Normal trading day,Available,Available,Available,
2015-11-20,Fri,Normal trading day,Available,Available,Available,
2015-11-21,Sat,No trading day,Available,Available,Not available,
2015-11-22,Sun,No trading day,Available,Available,Not available,
2015-11-23,Mon,Normal trading day,Available,Available,Available,
2015-11-24,Tue,Normal trading day,Available,Available,Available,
2015-11-25,Wed,Normal trading day,Available,Available,Available,
2015-11-26,Thu,Normal trading day,Available,Available,Available,
2015-11-27,Fri,Normal trading day,Available,Available,Available,
2015-11-28,Sat,No trading day,Available,Not available,Not available,
2015-11-29,Sun,No trading day,Available,Not available,Not available,
2015-11-30,Mon,Normal trading day,Available,Available,Available,
2015-12-01,Tue,Normal trading day,Available,Available,Available,
2015-12-02,Wed,Normal trading day,Available,Available,Available,
2015-12-03,Thu,Normal trading day,Available,Available,Available,
2015-12-04,Fri,Normal trading day,Available,Available,Available,
2015-12-05,Sat,No trading day,Available,Not available,Not available,
2015-12-06,Sun,No trading day,Available,Not available,Not available,
2015-12-07,Mon,Normal trading day,Available,Available,Available,
2015-12-08,Tue,Normal trading day,Available,Available,Available,
2015-12-09,Wed,Normal trading day,Available,Available,Available,
2015-12-10,Thu,Normal trading day,Available,Available,Available,
2015-12-11,Fri,Normal trading day,Available,Available,Available,
2015-12-12,Sat,No trading day,Available,Available,Not available,
2015-12-13,Sun,No trading day,Available,Available,Not available,
2015-12-14,Mon,Normal trading day,Not available,Available,Not available,"Technical Issue, Currently under investigations"
2015-12-15,Tue,Normal trading day,Available,Available,Available,
2015-12-16,Wed,Normal trading day,Available,Available,Available,
2015-12-17,Thu,Normal trading day,Available,Available,Available,
2015-12-18,Fri,Normal trading day,Available,Available,Available,
2015-12-19,Sat,No trading day,Available,Not available,Not available,
2015-12-20,Sun,No trading day,Available,Not available,Not available,
2015-12-21,Mon,Normal trading day,Available,Available,Available,
2015-12-22,Tue,Normal trading day,Available,Available,Available,
2015-12-23,Wed,Normal trading day,Available,Available,Available,
2015-12-24,Thu,Holiday,Available,Available,Not available,
2015-12-25,Fri,Holiday,Available,Not available,Not available,
2015-12-26,Sat,Holiday,Available,Not available,Not available,
2015-12-27,Sun,No trading day,Available,Not available,Not available,
2015-12-28,Mon,Normal trading day,Available,Available,Available,
2015-12-29,Tue,Normal trading day,Available,Available,Available,
2015-12-30,Wed,Normal trading day,Available,Available,Available,
2015-12-31,Thu,Holiday,Available,Available,Not available,
2016-01-01,Fri,Holiday,Available,Not available,Not available,
2016-01-02,Sat,No trading day,Available,Not available,Not available,
2016-01-03,Sun,No trading day,Available,Not available,Not available,
2016-01-04,Mon,Normal trading day,Available,Available,Available,
2016-01-05,Tue,Normal trading day,Available,Available,Available,
2016-01-06,Wed,Normal trading day,Available,Available,Available,
2016-01-07,Thu,Normal trading day,Available,Available,Available,
2016-01-08,Fri,Normal trading day,Available,Available,Available,
2016-01-09,Sat,No trading day,Available,Not available,Not available,
2016-01-10,Sun,No trading day,Available,Not available,Not available,
2016-01-11,Mon,Normal trading day,Available,Available,Available,
2016-01-12,Tue,Normal trading day,Available,Available,Available,
2016-01-13,Wed,Normal trading day,Available,Available,Available,
2016-01-14,Thu,Normal trading day,Available,Available,Available,
2016-01-15,Fri,Normal trading day,Available,Available,Available,
2016-01-16,Sat,No trading day,Available,Not available,Not available,
2016-01-17,Sun,No trading day,Available,Not available,Not available,
2016-01-18,Mon,Normal trading day,Available,Available,Available,
2016-01-19,Tue,Normal trading day,Available,Available,Available,
2016-01-20,Wed,Normal trading day,Available,Available,Available,
2016-01-21,Thu,Normal trading day,Available,Available,Available,
2016-01-22,Fri,Normal trading day,Available,Available,Available,
2016-01-23,Sat,No trading day,Available,Not available,Not available,
2016-01-24,Sun,No trading day,Available,Not available,Not available,
2016-01-25,Mon,Normal trading day,Available,Available,Available,
2016-01-26,Tue,Normal trading day,Available,Available,Available,
2016-01-27,Wed,Normal trading day,Available,Available,Available,
2016-01-28,Thu,Normal trading day,Available,Available,Available,
2016-01-29,Fri,Normal trading day,Available,Available,Available,
2016-01-30,Sat,No trading day,Available,Not available,Not available,
2016-01-31,Sun,No trading day,Available,Not available,Not available,
2016-02-01,Mon,Normal trading day,Available,Available,Available,
2016-02-02,Tue,Normal trading day,Available,Available,Available,
2016-02-03,Wed,Normal trading day,Available,Available,Available,
2016-02-04,Thu,Normal trading day,Available,Available,Available,
2016-02-05,Fri,Normal trading day,Available,Available,Available,
2016-02-06,Sat,No trading day,Available,Not available,Not available,
2016-02-07,Sun,No trading day,Available,Not available,Not available,
2016-02-08,Mon,Normal trading day,Available,Available,Available,
2016-02-09,Tue,Normal trading day,Available,Available,Available,
2016-02-10,Wed,Normal trading day,Available,Available,Available,
2016-02-11,Thu,Normal trading day,Available,Available,Available,
2016-02-12,Fri,Normal trading day,Available,Available,Available,
2016-02-13,Sat,No trading day,Available,Available,Not available,
2016-02-14,Sun,No trading day,Available,Available,Not available,
2016-02-15,Mon,Normal trading day,Available,Available,Available,
2016-02-16,Tue,Normal trading day,Available,Available,Available,
2016-02-17,Wed,Normal trading day,Available,Available,Available,
2016-02-18,Thu,Normal trading day,Available,Available,Available,
2016-02-19,Fri,Normal trading day,Available,Available,Available,
2016-02-20,Sat,No trading day,Available,Not available,Not available,
2016-02-21,Sun,No trading day,Available,Not available,Not available,
2016-02-22,Mon,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-02-23,Tue,Normal trading day,Available,Available,Available,
2016-02-24,Wed,Normal trading day,Available,Available,Available,
2016-02-25,Thu,Normal trading day,Available,Available,Available,
2016-02-26,Fri,Normal trading day,Available,Available,Available,
2016-02-27,Sat,No trading day,Available,Available,Not available,
2016-02-28,Sun,No trading day,Available,Available,Not available,
2016-02-29,Mon,Normal trading day,Available,Available,Available,
2016-03-01,Tue,Normal trading day,Available,Available,Available,
2016-03-02,Wed,Normal trading day,Available,Available,Available,
2016-03-03,Thu,Normal trading day,Available,Available,Available,
2016-03-04,Fri,Normal trading day,Available,Available,Available,
2016-03-05,Sat,No trading day,Available,Not available,Not available,
2016-03-06,Sun,No trading day,Available,Not available,Not available,
2016-03-07,Mon,Normal trading day,Available,Available,Available,
2016-03-08,Tue,Normal trading day,Available,Available,Available,
2016-03-09,Wed,Normal trading day,Available,Available,Available,
2016-03-10,Thu,Normal trading day,Available,Available,Available,
2016-03-11,Fri,Normal trading day,Available,Available,Available,
2016-03-12,Sat,No trading day,Available,Not available,Not available,
2016-03-13,Sun,No trading day,Available,Not available,Not available,
2016-03-14,Mon,Normal trading day,Available,Available,Available,
2016-03-15,Tue,Normal trading day,Available,Available,Available,
2016-03-16,Wed,Normal trading day,Available,Available,Available,
2016-03-17,Thu,Normal trading day,Available,Available,Available,
2016-03-18,Fri,Normal trading day,Available,Available,Available,
2016-03-19,Sat,No trading day,Available,Not available,Not available,
2016-03-20,Sun,No trading day,Available,Not available,Not available,
2016-03-21,Mon,Normal trading day,Available,Available,Available,
2016-03-22,Tue,Normal trading day,Available,Available,Available,
2016-03-23,Wed,Normal trading day,Available,Available,Available,
2016-03-24,Thu,Normal trading day,Available,Available,Available,
2016-03-25,Fri,Holiday,Available,Not available,Not available,
2016-03-26,Sat,No trading day,Available,Not available,Not available,
2016-03-27,Sun,No trading day,Available,Not available,Not available,
2016-03-28,Mon,Holiday,Available,Not available,Not available,
2016-03-29,Tue,Normal trading day,Available,Available,Available,
2016-03-30,Wed,Normal trading day,Available,Available,Available,
2016-03-31,Thu,Normal trading day,Available,Available,Available,
2016-04-01,Fri,Normal trading day,Available,Available,Available,
2016-04-02,Sat,No trading day,Available,Not available,Not available,
2016-04-03,Sun,No trading day,Available,Not available,Not available,
2016-04-04,Mon,Normal trading day,Available,Available,Available,
2016-04-05,Tue,Normal trading day,Available,Available,Available,
2016-04-06,Wed,Normal trading day,Available,Available,Available,
2016-04-07,Thu,Normal trading day,Available,Available,Available,
2016-04-08,Fri,Normal trading day,Available,Available,Available,
2016-04-09,Sat,No trading day,Available,Available,Not available,
2016-04-10,Sun,No trading day,Available,Available,Not available,
2016-04-11,Mon,Normal trading day,Available,Available,Available,
2016-04-12,Tue,Normal trading day,Available,Available,Available,
2016-04-13,Wed,Normal trading day,Available,Available,Available,
2016-04-14,Thu,Normal trading day,Available,Available,Available,
2016-04-15,Fri,Normal trading day,Available,Available,Available,
2016-04-16,Sat,No trading day,Available,Available,Not available,
2016-04-17,Sun,No trading day,Available,Available,Not available,
2016-04-18,Mon,Normal trading day,Available,Available,Available,
2016-04-19,Tue,Normal trading day,Available,Available,Available,
2016-04-20,Wed,Normal trading day,Available,Available,Available,
2016-04-21,Thu,Normal trading day,Available,Available,Available,
2016-04-22,Fri,Normal trading day,Available,Available,Available,
2016-04-23,Sat,No trading day,Available,Not available,Not available,
2016-04-24,Sun,No trading day,Available,Not available,Not available,
2016-04-25,Mon,Normal trading day,Available,Available,Available,
2016-04-26,Tue,Normal trading day,Available,Available,Available,
2016-04-27,Wed,Normal trading day,Available,Available,Available,
2016-04-28,Thu,Normal trading day,Available,Available,Available,
2016-04-29,Fri,Normal trading day,Available,Available,Available,
2016-04-30,Sat,No trading day,Available,Not available,Not available,
2016-05-01,Sun,Holiday,Available,Not available,Not available,
2016-05-02,Mon,Normal trading day,Available,Available,Available,
2016-05-03,Tue,Normal trading day,Available,Available,Available,
2016-05-04,Wed,Normal trading day,Available,Available,Available,
2016-05-05,Thu,Normal trading day,Available,Available,Available,
2016-05-06,Fri,Normal trading day,Available,Available,Available,
2016-05-07,Sat,No trading day,Available,Not available,Not available,
2016-05-08,Sun,No trading day,Available,Not available,Not available,
2016-05-09,Mon,Normal trading day,Available,Available,Available,
2016-05-10,Tue,Normal trading day,Available,Available,Available,
2016-05-11,Wed,Normal trading day,Available,Available,Available,
2016-05-12,Thu,Normal trading day,Available,Available,Available,
2016-05-13,Fri,Normal trading day,Available,Available,Available,
2016-05-14,Sat,No trading day,Available,Not available,Not available,
2016-05-15,Sun,No trading day,Available,Not available,Not available,
2016-05-16,Mon,Normal trading day,Available,Available,Available,
2016-05-17,Tue,Normal trading day,Available,Available,Available,
2016-05-18,Wed,Normal trading day,Available,Available,Available,
2016-05-19,Thu,Normal trading day,Available,Available,Available,
2016-05-20,Fri,Normal trading day,Available,Available,Available,
2016-05-21,Sat,No trading day,Available,Available,Not available,
2016-05-22,Sun,No trading day,Available,Available,Not available,
2016-05-23,Mon,Normal trading day,Available,Available,Available,
2016-05-24,Tue,Normal trading day,Available,Available,Available,
2016-05-25,Wed,Normal trading day,Available,Available,Available,
2016-05-26,Thu,Normal trading day,Available,Available,Available,
2016-05-27,Fri,Normal trading day,Available,Available,Available,
2016-05-28,Sat,No trading day,Available,Not available,Not available,
2016-05-29,Sun,No trading day,Available,Not available,Not available,
2016-05-30,Mon,Normal trading day,Available,Available,Available,
2016-05-31,Tue,Normal trading day,Available,Available,Available,
2016-06-01,Wed,Normal trading day,Available,Available,Available,
2016-06-02,Thu,Normal trading day,Available,Available,Available,
2016-06-03,Fri,Normal trading day,Available,Available,Available,
2016-06-04,Sat,No trading day,Available,Not available,Not available,
2016-06-05,Sun,No trading day,Available,Not available,Not available,
2016-06-06,Mon,Normal trading day,Available,Available,Available,
2016-06-07,Tue,Normal trading day,Available,Available,Available,
2016-06-08,Wed,Normal trading day,Available,Available,Available,
2016-06-09,Thu,Normal trading day,Available,Available,Available,
2016-06-10,Fri,Normal trading day,Available,Available,Available,
2016-06-11,Sat,No trading day,Available,Not available,Not available,
2016-06-12,Sun,No trading day,Available,Not available,Not available,
2016-06-13,Mon,Normal trading day,Available,Available,Available,
2016-06-14,Tue,Normal trading day,Available,Available,Available,
2016-06-15,Wed,Normal trading day,Available,Available,Available,
2016-06-16,Thu,Normal trading day,Available,Available,Available,
2016-06-17,Fri,Normal trading day,Available,Available,Available,
2016-06-18,Sat,No trading day,Available,Not available,Not available,
2016-06-19,Sun,No trading day,Available,Not available,Not available,
2016-06-20,Mon,Normal trading day,Available,Available,Available,
2016-06-21,Tue,Normal trading day,Available,Available,Available,
2016-06-22,Wed,Normal trading day,Available,Available,Available,
2016-06-23,Thu,Normal trading day,Available,Available,Available,
2016-06-24,Fri,Normal trading day,Available,Available,Available,
2016-06-25,Sat,No trading day,Available,Not available,Not available,
2016-06-26,Sun,No trading day,Available,Not available,Not available,
2016-06-27,Mon,Normal trading day,Available,Available,Available,
2016-06-28,Tue,Normal trading day,Available,Available,Available,
2016-06-29,Wed,Normal trading day,Available,Available,Available,
2016-06-30,Thu,Normal trading day,Available,Available,Available,
2016-07-01,Fri,Normal trading day,Available,Available,Available,
2016-07-02,Sat,No trading day,Available,Not available,Not available,
2016-07-03,Sun,No trading day,Available,Not available,Not available,
2016-07-04,Mon,Normal trading day,Available,Available,Available,
2016-07-05,Tue,Normal trading day,Available,Available,Available,
2016-07-06,Wed,Normal trading day,Available,Available,Available,
2016-07-07,Thu,Normal trading day,Available,Available,Available,
2016-07-08,Fri,Normal trading day,Available,Available,Available,
2016-07-09,Sat,No trading day,Available,Not available,Not available,
2016-07-10,Sun,No trading day,Available,Not available,Not available,
2016-07-11,Mon,Normal trading day,Available,Available,Available,
2016-07-12,Tue,Normal trading day,Available,Available,Available,
2016-07-13,Wed,Normal trading day,Available,Available,Available,
2016-07-14,Thu,Normal trading day,Available,Available,Available,
2016-07-15,Fri,Normal trading day,Available,Available,Available,
2016-07-16,Sat,No trading day,Available,Available,Not available,
2016-07-17,Sun,No trading day,Available,Available,Not available,
2016-07-18,Mon,Normal trading day,Available,Available,Available,
2016-07-19,Tue,Normal trading day,Available,Available,Available,
2016-07-20,Wed,Normal trading day,Available,Available,Available,
2016-07-21,Thu,Normal trading day,Available,Available,Available,
2016-07-22,Fri,Normal trading day,Available,Available,Available,
2016-07-23,Sat,No trading day,Available,Available,Not available,
2016-07-24,Sun,No trading day,Available,Available,Not available,
2016-07-25,Mon,Normal trading day,Available,Available,Available,
2016-07-26,Tue,Normal trading day,Available,Available,Available,
2016-07-27,Wed,Normal trading day,Available,Available,Available,
2016-07-28,Thu,Normal trading day,Available,Available,Available,
2016-07-29,Fri,Normal trading day,Available,Available,Available,
2016-07-30,Sat,No trading day,Available,Not available,Not available,
2016-07-31,Sun,No trading day,Available,Not available,Not available,
2016-08-01,Mon,Normal trading day,Available,Available,Available,
2016-08-02,Tue,Normal trading day,Available,Available,Available,
2016-08-03,Wed,Normal trading day,Available,Available,Available,
2016-08-04,Thu,Normal trading day,Available,Available,Available,
2016-08-05,Fri,Normal trading day,Available,Available,Available,
2016-08-06,Sat,No trading day,Available,Not available,Not available,
2016-08-07,Sun,No trading day,Available,Not available,Not available,
2016-08-08,Mon,Normal trading day,Available,Available,Available,
2016-08-09,Tue,Normal trading day,Available,Available,Available,
2016-08-10,Wed,Normal trading day,Available,Available,Available,
2016-08-11,Thu,Normal trading day,Available,Available,Available,
2016-08-12,Fri,Normal trading day,Available,Available,Available,
2016-08-13,Sat,No trading day,Available,Not available,Not available,
2016-08-14,Sun,No trading day,Available,Not available,Not available,
2016-08-15,Mon,Normal trading day,Available,Available,Available,
2016-08-16,Tue,Normal trading day,Available,Available,Available,
2016-08-17,Wed,Normal trading day,Available,Available,Available,
2016-08-18,Thu,Normal trading day,Available,Available,Available,
2016-08-19,Fri,Normal trading day,Available,Available,Available,
2016-08-20,Sat,No trading day,Available,Not available,Not available,
2016-08-21,Sun,No trading day,Available,Not available,Not available,
2016-08-22,Mon,Normal trading day,Available,Available,Available,
2016-08-23,Tue,Normal trading day,Available,Available,Available,
2016-08-24,Wed,Normal trading day,Available,Available,Available,
2016-08-25,Thu,Normal trading day,Available,Available,Available,
2016-08-26,Fri,Normal trading day,Available,Available,Available,
2016-08-27,Sat,No trading day,Available,Not available,Not available,
2016-08-28,Sun,No trading day,Available,Not available,Not available,
2016-08-29,Mon,Normal trading day,Available,Available,Available,
2016-08-30,Tue,Normal trading day,Available,Available,Available,
2016-08-31,Wed,Normal trading day,Available,Available,Available,
2016-09-01,Thu,Normal trading day,Available,Available,Available,
2016-09-02,Fri,Normal trading day,Available,Available,Available,
2016-09-03,Sat,No trading day,Available,Not available,Not available,
2016-09-04,Sun,No trading day,Available,Not available,Not available,
2016-09-05,Mon,Normal trading day,Available,Available,Available,
2016-09-06,Tue,Normal trading day,Available,Available,Available,
2016-09-07,Wed,Normal trading day,Available,Available,Available,
2016-09-08,Thu,Normal trading day,Available,Available,Available,
2016-09-09,Fri,Normal trading day,Available,Available,Available,
2016-09-10,Sat,No trading day,Available,Not available,Not available,
2016-09-11,Sun,No trading day,Available,Not available,Not available,
2016-09-12,Mon,Normal trading day,Available,Available,Available,
2016-09-13,Tue,Normal trading day,Available,Available,Available,
2016-09-14,Wed,Normal trading day,Available,Available,Available,
2016-09-15,Thu,Normal trading day,Available,Available,Available,
2016-09-16,Fri,Normal trading day,Available,Available,Available,
2016-09-17,Sat,No trading day,Available,Available,Not available,
2016-09-18,Sun,No trading day,Available,Available,Not available,
2016-09-19,Mon,Normal trading day,Available,Available,Available,
2016-09-20,Tue,Normal trading day,Available,Available,Available,
2016-09-21,Wed,Normal trading day,Available,Available,Available,
2016-09-22,Thu,Normal trading day,Available,Available,Available,
2016-09-23,Fri,Normal trading day,Available,Available,Available,
2016-09-24,Sat,No trading day,Available,Available,Not available,
2016-09-25,Sun,No trading day,Available,Available,Not available,
2016-09-26,Mon,Normal trading day,Available,Available,Available,
2016-09-27,Tue,Normal trading day,Available,Available,Available,
2016-09-28,Wed,Normal trading day,Available,Available,Available,
2016-09-29,Thu,Normal trading day,Available,Available,Available,
2016-09-30,Fri,Normal trading day,Available,Available,Available,
2016-10-01,Sat,No trading day,Available,Not available,Not available,
2016-10-02,Sun,No trading day,Available,Not available,Not available,
2016-10-03,Mon,Normal trading day,Available,Available,Available,
2016-10-04,Tue,Normal trading day,Available,Available,Available,
2016-10-05,Wed,Normal trading day,Available,Available,Available,
2016-10-06,Thu,Normal trading day,Available,Available,Available,
2016-10-07,Fri,Normal trading day,Available,Available,Available,
2016-10-08,Sat,No trading day,Available,Not available,Not available,
2016-10-09,Sun,No trading day,Available,Not available,Not available,
2016-10-10,Mon,Normal trading day,Available,Available,Available,
2016-10-11,Tue,Normal trading day,Available,Available,Available,
2016-10-12,Wed,Normal trading day,Available,Available,Available,
2016-10-13,Thu,Normal trading day,Available,Available,Available,
2016-10-14,Fri,Normal trading day,Available,Available,Available,
2016-10-15,Sat,No trading day,Available,Available,Not available,
2016-10-16,Sun,No trading day,Available,Available,Not available,
