Date,Weekday,Status,EMDI,RDI,BINS,Comment
2014-09-14,Sun,No trading day,Not available,Not available,Not available,
2014-09-15,Mon,Normal trading day,Available,Available,Available,
2014-09-16,Tue,Normal trading day,Available,Available,Available,
2014-09-17,Wed,Normal trading day,Available,Available,Available,
2014-09-18,Thu,Normal trading day,Available,Available,Available,
2014-09-19,Fri,Normal trading day,Available,Available,Available,
2014-09-20,Sat,No trading day,Not available,Not available,Not available,
2014-09-21,Sun,No trading day,Not available,Not available,Not available,
2014-09-22,Mon,Normal trading day,Available,Available,Available,
2014-09-23,Tue,Normal trading day,Available,Available,Available,
2014-09-24,Wed,Normal trading day,Available,Available,Available,
2014-09-25,Thu,Normal trading day,Available,Available,Available,
2014-09-26,Fri,Normal trading day,Available,Available,Available,
2014-09-27,Sat,No trading day,Not available,Not available,Not available,
2014-09-28,Sun,No trading day,Not available,Not available,Not available,
2014-09-29,Mon,Normal trading day,Available,Available,Available,
2014-09-30,Tue,Normal trading day,Available,Available,Available,
2014-10-01,Wed,Normal trading day,Available,Available,Available,
2014-10-02,Thu,Normal trading day,Available,Available,Available,
2014-10-03,Fri,Normal trading day,Available,Available,Available,
2014-10-04,Sat,No trading day,Not available,Not available,Not available,
2014-10-05,Sun,No trading day,Not available,Not available,Not available,
2014-10-06,Mon,Normal trading day,Available,Available,Available,
2014-10-07,Tue,Normal trading day,Available,Available,Available,
2014-10-08,Wed,Normal trading day,Available,Available,Available,
2014-10-09,Thu,Normal trading day,Available,Available,Available,
2014-10-10,Fri,Normal trading day,Available,Available,Available,
2014-10-11,Sat,No trading day,Not available,Not available,Not available,
2014-10-12,Sun,No trading day,Not available,Not available,Not available,
2014-10-13,Mon,Normal trading day,Available,Available,Available,
2014-10-14,Tue,Normal trading day,Available,Available,Available,
2014-10-15,Wed,Normal trading day,Available,Available,Available,
2014-10-16,Thu,Normal trading day,Available,Available,Available,
2014-10-17,Fri,Normal trading day,Available,Available,Available,
2014-10-18,Sat,No trading day,Not available,Not available,Not available,
2014-10-19,Sun,No trading day,Not available,Not available,Not available,
2014-10-20,Mon,Normal trading day,Available,Available,Available,
2014-10-21,Tue,Normal trading day,Available,Available,Available,
2014-10-22,Wed,Normal trading day,Available,Available,Available,
2014-10-23,Thu,Normal trading day,Available,Available,Available,
2014-10-24,Fri,Normal trading day,Available,Available,Available,
2014-10-25,Sat,No trading day,Not available,Not available,Not available,
2014-10-26,Sun,No trading day,Not available,Not available,Not available,
2014-10-27,Mon,Normal trading day,Available,Available,Available,
2014-10-28,Tue,Normal trading day,Available,Available,Available,
2014-10-29,Wed,Normal trading day,Available,Available,Available,
2014-10-30,Thu,Normal trading day,Available,Available,Available,
2014-10-31,Fri,Normal trading day,Available,Available,Available,
2014-11-01,Sat,No trading day,Not available,Not available,Not available,
2014-11-02,Sun,No trading day,Not available,Not available,Not available,
2014-11-03,Mon,Normal trading day,Available,Available,Available,
2014-11-04,Tue,Normal trading day,Available,Available,Available,
2014-11-05,Wed,Normal trading day,Available,Available,Available,
2014-11-06,Thu,Normal trading day,Available,Available,Available,
2014-11-07,Fri,Normal trading day,Available,Available,Available,
2014-11-08,Sat,No trading day,Not available,Not available,Not available,
2014-11-09,Sun,No trading day,Not available,Not available,Not available,
2014-11-10,Mon,Normal trading day,Available,Available,Available,
2014-11-11,Tue,Normal trading day,Available,Available,Available,
2014-11-12,Wed,Normal trading day,Available,Available,Available,
2014-11-13,Thu,Normal trading day,Available,Available,Available,
2014-11-14,Fri,Normal trading day,Available,Available,Available,
2014-11-15,Sat,No trading day,Not available,Not available,Not available,
2014-11-16,Sun,No trading day,Not available,Not available,Not available,
2014-11-17,Mon,Normal trading day,Available,Available,Available,
2014-11-18,Tue,Normal trading day,Available,Available,Available,
2014-11-19,Wed,Normal trading day,Available,Available,Available,
2014-11-20,Thu,Normal trading day,Available,Available,Available,
2014-11-21,Fri,Normal trading day,Available,Available,Available,
2014-11-22,Sat,No trading day,Not available,Not available,Not available,
2014-11-23,Sun,No trading day,Not available,Not available,Not available,
2014-11-24,Mon,Normal trading day,Available,Available,Available,
2014-11-25,Tue,Normal trading day,Available,Available,Available,
2014-11-26,Wed,Normal trading day,Available,Available,Available,
2014-11-27,Thu,Normal trading day,Available,Available,Available,
2014-11-28,Fri,Normal trading day,Available,Available,Available,
2014-11-29,Sat,No trading day,Not available,Not available,Not available,
2014-11-30,Sun,No trading day,Not available,Not available,Not available,
2014-12-01,Mon,Normal trading day,Available,Available,Available,
2014-12-02,Tue,Normal trading day,Available,Available,Available,
2014-12-03,Wed,Normal trading day,Available,Available,Available,
2014-12-04,Thu,Normal trading day,Available,Available,Available,
2014-12-05,Fri,Normal trading day,Available,Available,Available,
2014-12-06,Sat,No trading day,Not available,Not available,Not available,
